papel,cotação,p_l,p_vp,psr,div_yield,p_ativo,p_cap_giro,p_ebit,p_ativ_circ_liq,ev_ebit,ev_ebitda,mrg_ebit,mrg__líq_,liq__corr_,roic,roe,liq_2meses,patrim__líq,dív_brut__patrim_,cresc__rec_5a
SFSA4,4.40,13.10,0.82,0.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,739524000.00,0.00,0.15
GETI3,14.45,13.19,3.44,1.916,0.00,1.314,-15.63,6.98,-3.19,8.20,6.76,27.43,14.52,0.71,22.70,26.09,0.00,1601130000.00,0.86,13.39
GETI4,14.46,13.20,3.44,1.917,0.00,1.315,-15.64,6.99,-3.20,8.20,6.76,27.43,14.52,0.71,22.70,26.09,0.00,1601130000.00,0.86,13.39
SBSP3,56.00,13.23,1.36,1.673,2.28,0.672,159.51,7.88,-1.71,11.13,7.33,21.23,12.64,1.04,8.97,10.30,147995000.00,28080700000.00,0.65,7.94
CTSA4,2.97,13.36,0.27,0.202,0.00,0.132,-1.70,-4.33,-0.60,-11.25,-26.62,-4.66,1.51,0.78,-3.44,1.99,374059.00,311350000.00,0.51,1.35
UGPA3,19.30,13.36,1.81,0.151,0.52,0.637,2.99,5.66,-3.61,7.97,6.25,2.66,1.16,1.87,15.48,13.54,123974000.00,11891900000.00,1.13,12.43
RGEG3,3.00,13.42,1.60,0.770,0.00,0.609,-98.28,6.23,-1.76,10.04,11.70,12.36,5.74,0.98,11.69,11.90,0.00,1915180000.00,1.15,10.09
FRAS3,13.31,13.52,1.96,1.126,1.98,0.930,2.61,7.56,14.82,7.48,5.95,14.90,8.33,2.55,18.63,14.50,4489390.00,1832770000.00,0.50,29.38
TRIS3,6.24,13.61,0.90,1.387,2.20,0.447,0.84,12.48,1.81,19.56,19.05,11.12,10.70,3.71,4.12,6.64,5103990.00,1289270000.00,0.73,6.02
JSLG3,8.94,13.63,1.78,0.407,2.64,0.302,3.91,3.32,-0.55,8.94,6.18,12.26,2.99,1.39,10.81,13.05,2826090.00,1440490000.00,3.52,-12.19
ENBR3,23.66,13.95,1.23,0.786,6.00,0.369,-14.42,3.14,-0.89,5.45,4.62,25.05,6.76,0.91,13.51,8.82,89228300.00,11172100000.00,1.21,6.40
MEAL3,2.74,13.98,0.74,0.344,0.00,0.292,-8.48,-12.88,-0.68,-18.09,6.29,-2.67,2.46,0.83,-2.63,5.29,2644180.00,1061970000.00,0.48,10.09
ARCE3,54.00,14.01,2.60,2.461,0.00,1.726,11.33,8.89,102.03,9.07,9.07,27.70,19.46,1.97,22.04,18.59,0.00,13495400000.00,0.17,48.47
EQPA6,10.69,14.17,7.15,2.631,8.43,1.829,20.74,9.49,-4.35,11.14,9.57,27.72,18.57,1.38,23.60,50.45,0.00,3303480000.00,1.69,14.86
TMGC11,900.00,14.26,1.83,1.309,0.00,1.260,7.62,20.08,13.46,18.75,18.75,6.52,9.18,1.69,8.73,12.83,0.00,1167010000.00,0.05,10.49
TNCP4,182.60,14.42,2.49,3.091,0.00,1.696,52.65,11.85,-22.30,11.88,8.72,26.08,21.44,1.15,16.48,17.29,0.00,13081500000.00,0.09,97.79
