ticker,preco,dy,p_l,p_vp,p_ativos,margem_bruta,margem_ebit,marg_liquida,p_ebit,ev_ebit,divida_liquida___ebit,div_liq___patri,psr,p_cap_giro,p_at_cir_liq,liq_corrente,roe,roa,roic,patrimonio___ativos,passivos___ativos,giro_ativos,cagr_receitas_5_anos,cagr_lucros_5_anos,liquidez_media_diaria,vpa,lpa,peg_ratio,valor_de_mercado
LUPA3,3.02,0,3.34,0.57,0.18,23.32,-59.03,29.38,-1.66,-3.99,-2.33,0.80,0.98,2.06,-0.25,1.47,17.12,5.47,-56.86,0.32,0.68,0.19,-0.35,0,1349052.93,5.25,0.90,0.04,99792438.00
LUXM3,0.00,0,0.00,0.00,0.00,28.58,14.45,7.88,0.00,11.08,-0.08,-0.01,0.00,0.00,0.00,0.96,9.70,6.92,8.56,0.71,0.29,0.88,6.11,22.53,0,5.32,0.52,0.00,219436560.00
LUXM4,18.93,0,36.66,3.56,2.54,28.58,14.45,7.88,20.00,11.08,-0.08,-0.01,2.89,-425.34,-2.94,0.96,9.70,6.92,8.56,0.71,0.29,0.88,6.11,22.53,13207.43,5.32,0.52,-1.07,219436560.00
LVTC3,5.66,0.24,19.39,0.57,0.25,22.14,6.83,1.76,4.99,3.16,-1.83,-0.21,0.34,0.84,-0.49,2.54,2.95,1.29,9.31,0.44,0.56,0.73,0,0,258513.37,9.90,0.29,-0.28,365992936.58
LWSA3,7.28,0.71,132.76,1.47,0.93,46.03,5.43,2.77,67.59,46.74,-20.85,-0.45,3.67,4.00,-1.72,2.03,1.10,0.70,1.17,0.63,0.37,0.25,31.17,26.79,47171732.93,5.01,0.06,-0.11,4378866561.30
MAGG3,59.40,0,-119.99,1.32,0.44,33.56,9.54,-0.57,7.17,11.30,4.13,0.76,0.68,9.32,-0.71,1.14,-1.10,-0.37,7.17,0.33,0.67,0.64,8.44,0,0,44.89,-0.50,1.04,2972404571.40
MAPT3,30.05,0,-147.66,-4.47,35.72,0,0,0,-147.66,-100.35,0.00,0,0,-587.51,-35.72,0.00,-3.03,-24.19,3.03,-7.98,8.98,0.00,0,0,9015.00,-6.72,-0.20,-16.93,18765212.75
MAPT4,11.00,0,-54.05,-1.64,13.08,0,0,0,-54.05,-100.35,0.00,0,0,-215.06,-13.08,0.00,-3.03,-24.19,3.03,-7.98,8.98,0.00,0,0,2688.00,-6.72,-0.20,-6.20,18765212.75
MATD3,9.87,0.65,36.24,2.30,0.75,35.10,19.50,5.36,9.95,12.34,2.39,0.55,1.94,5.62,-0.98,2.40,6.36,2.08,10.62,0.33,0.66,0.39,0,0,3734072.63,4.28,0.27,-1.24,3773595333.27
MBLY3,3.75,0,-4.56,0.74,0.46,40.92,-14.05,-13.71,-4.45,-4.14,0.30,-0.05,0.62,1.18,-1.10,3.05,-16.25,-10.13,-12.52,0.62,0.38,0.74,0,0,10419144.56,5.00,-0.81,-3.16,394012644.80
MDIA3,43.12,0.46,28.44,2.15,1.30,28.61,6.13,4.79,22.22,24.61,2.39,0.23,1.36,6.21,-2.22,2.04,7.58,4.59,5.96,0.61,0.39,0.96,13.34,-9.45,54283988.37,20.02,1.52,-10.95,14617680000.00
MDNE3,11.32,0,8.43,0.79,0.33,31.86,11.46,12.87,9.47,8.30,-1.16,-0.10,1.08,1.30,-0.53,2.89,9.35,3.88,5.54,0.41,0.59,0.30,5.57,0,2930897.11,14.27,1.33,0.31,955230468.75
MEAL3,2.76,0,14.03,0.74,0.29,31.57,11.55,2.46,2.99,4.19,1.20,0.30,0.34,-8.51,-0.35,0.83,5.29,2.09,12.29,0.40,0.60,0.85,8.44,72.59,2274745.48,3.71,0.20,-0.08,787516207.50
MEGA3,11.15,0,7961.85,1.38,0.41,27.94,25.53,0.04,10.99,22.86,11.87,1.49,2.81,-20.16,-0.49,0.88,0.02,0.01,4.29,0.30,0.70,0.15,0,0,7865201.93,8.14,0.00,0,6974582227.20
MELK3,4.78,7.68,11.98,0.80,0.43,20.13,5.71,7.34,15.40,12.56,-2.85,-0.15,0.88,0.70,-2.42,3.86,6.70,3.55,2.50,0.53,0.43,0.48,17.62,2.91,861465.78,5.96,0.40,-1.32,985967449.98
MERC3,15.28,0,-59.11,1.09,0.95,78.18,-13.22,-9.12,-40.78,-31.90,0,0,5.39,40.23,-0.98,0,-1.85,-1.61,0,0.87,0.13,0.18,-29.95,0,786920.00,13.99,-0.26,0.42,215289972.25
MERC4,7.63,5.90,-29.51,0.55,0.48,78.18,-13.22,-9.12,-20.36,-31.90,0,0,2.69,20.09,-0.49,0,-1.85,-1.61,0,0.87,0.13,0.18,-29.95,0,10910.39,13.99,-0.26,0.21,215289972.25
MGEL3,19.13,0,0.60,7.92,0.14,13.39,10.30,18.67,1.08,6.92,5.85,42.79,0.11,0.51,-0.26,2.22,1325.65,22.67,-8.86,0.02,0.98,1.21,17.93,0,0,2.42,32.02,-0.02,109555214.55
MGEL4,18.84,0,0.59,7.80,0.13,13.39,10.30,18.67,1.07,6.92,5.85,42.79,0.11,0.50,-0.26,2.22,1325.65,22.67,-8.86,0.02,0.98,1.21,17.93,0,18855.20,2.42,32.02,-0.02,109555214.55
MGLU3,2.99,0,-27.78,1.97,0.59,27.89,1.90,-1.94,28.38,35.44,7.06,0.49,0.54,3.75,-1.26,1.42,-7.08,-2.13,-0.54,0.30,0.70,1.10,25.49,0,300161464.48,1.52,-0.11,0.05,20246780544.00
MILS3,12.80,2.17,13.02,2.45,1.19,63.80,30.93,20.49,8.63,9.82,1.19,0.34,2.67,6.08,-1.86,2.22,18.79,9.17,15.54,0.49,0.51,0.45,30.26,0,9592117.89,5.23,0.98,0.17,3152753356.80
MLAS3,3.21,0,-6.26,0.71,0.40,19.26,-5.67,-10.10,-11.15,-12.84,-1.69,0.11,0.63,0.75,-1.95,3.08,-11.42,-6.45,-5.66,0.57,0.43,0.64,0,0,6520482.11,4.52,-0.52,0.04,2650341696.75
MMAQ3,0.00,0,0.00,0.00,0.00,9.84,6.79,4.58,0.00,1.87,1.86,0.49,0.00,0.00,0.00,1.67,17.62,8.79,10.10,0.50,0.50,1.92,25.76,31.99,0,5448.96,959.91,0.00,1115195.25
MMAQ4,49.73,503.40,0.05,0.01,0.00,9.84,6.79,4.58,0.03,1.87,1.86,0.49,0.00,0.01,-0.03,1.67,17.62,8.79,10.10,0.50,0.50,1.92,25.76,31.99,0,5448.96,959.91,0.00,1115195.25
MMXM3,14.00,0,-2.17,-0.11,0.71,0,0,0,-181.31,-719.57,-538.27,0,0,-0.10,-0.75,0.01,-4.97,-32.75,0.28,-6.58,7.60,0.00,-6.95,0,0,-129.88,-6.46,0.03,90834562.00
MNDL3,53.00,0,0.15,0.82,0.10,37.73,12.87,113.39,1.29,4.80,3.51,2.23,0.17,-0.79,-0.16,0.73,559.48,69.87,-32.95,0.12,0.88,0.62,11.73,0,116062.00,64.59,361.34,0.00,131453780.00
MNPR3,15.91,0,5.26,-0.35,0.37,29.41,11.95,5.61,2.47,2.47,0.00,0,0.29,-0.30,-0.83,0.31,-6.57,7.03,-13.57,-1.07,2.07,1.25,13.94,0,119349.62,-46.09,3.03,0.60,112962591.00
MOAR3,309.85,1.58,14.31,3.61,1.62,0,0,0,11.69,11.89,0.20,0.06,0,5.98,-2.83,2.70,25.19,11.29,15.34,0.45,0.55,0.00,0,13.44,259182.08,85.94,21.65,-0.31,3796040826.85
MODL11,8.46,0.78,-27.27,1.66,0.27,50.83,-5.11,-5.48,-29.26,-29.26,0,0,1.50,0,-0.30,0,-6.10,-0.97,0,0.16,0.84,0.18,0,0,3256574.36,5.09,-0.31,0.17,1985844000.00
MODL3,3.08,2.13,-29.78,1.82,0.29,50.83,-5.11,-5.48,-31.96,-29.26,0,0,1.63,0,-0.32,0,-6.10,-0.97,0,0.16,0.84,0.18,0,0,18194928.05,1.70,-0.10,0.19,1985844000.00
MODL4,2.72,0.80,-26.30,1.60,0.26,50.83,-5.11,-5.48,-28.22,-29.26,0,0,1.44,0,-0.29,0,-6.10,-0.97,0,0.16,0.84,0.18,0,0,31974.18,1.70,-0.10,0.17,1985844000.00
